User_id,Location_id,Item_id,POI_Type,TimeStamp,Zone,Latitude,Longitude,L2_Category_name,name,stars,Time,Date,clusters,POI,L1_Category_name,L1_Category
0,0,0,0,Sun Apr 22 01:42:06 +0000 2012,-360,51.082188,-114.00032,0,Sheraton Cavalier Calgary Hotel,4.0,1:42:06,2012422,0,Independent,0,Travel & Transport
0,1,1,0,Sun Apr 22 01:43:00 +0000 2012,-360,51.08204,-114.00001999999999,1,Carver's Steakhouse,4.0,1:43:00,2012422,0,Independent,1,Food
0,2,2,0,Sun Apr 22 01:43:21 +0000 2012,-360,51.082187,-114.00038400000001,2,Henry's Pub,5.0,1:43:21,2012422,0,Independent,2,Nightlife Spot
0,1,1,0,Sun Apr 22 16:21:38 +0000 2012,-360,51.08204,-114.00001999999999,1,Carver's Steakhouse,4.0,16:21:38,2012422,0,Independent,1,Food
0,3,3,0,Sun Apr 22 16:22:44 +0000 2012,-360,51.080482,-114.002946,3,Perkins Restaurant & Bakery,3.0,16:22:44,2012422,0,Independent,1,Food
0,4,4,0,Sun Apr 22 18:28:50 +0000 2012,-360,51.04996,-114.06965,0,The Westin Calgary,3.5,18:28:50,2012422,1,Independent,0,Travel & Transport
0,5,5,0,Sun Apr 22 18:31:00 +0000 2012,-360,51.047791,-114.072502,4,Local 522,3.5,18:31:00,2012422,1,Independent,2,Nightlife Spot
0,6,6,0,Sun Apr 22 18:59:03 +0000 2012,-360,51.048468,-114.071598,5,Tim Hortons,2.5,18:59:03,2012422,1,Independent,1,Food
0,7,7,0,Sun Apr 22 19:10:20 +0000 2012,-360,51.03802,-114.07543700000001,6,Bread and Circus,4.0,19:10:20,2012422,2,Independent,3,Shop & Service
0,8,8,0,Sun Apr 22 19:55:01 +0000 2012,-360,51.037408,-114.06075200000001,7,Elbow River Casino,3.5,19:55:01,2012422,1,Independent,4,Arts & Entertainment
